Dataset,Category,Subgroup,Score,Endpoint,N,N_events,Is_Testable,Effect_r,Wilcoxon_FDR_P,HR_perSD,HR_lower,HR_upper,Cox_FDR_P,C_index,KM_logrank_FDR_P
TCGA-COAD,Stage,Stage IV,Composite_ssGSEA,RFS,65,40,TRUE,NA,NA,1.04,0.74,1.46,0.808,0.47,0.775
GSE39582,MSI,All MSI,Up_ssGSEA,OS,74,14,TRUE,-0.36,0.228,2.08,1.26,3.41,0.026,0.66,0.376
TCGA-COAD,MSI,All MSI,Up_ssGSEA,OS,77,15,TRUE,-0.11,0.822,1.24,0.76,2.02,0.989,0.57,0.874
GSE39582,MSI,All MSI,Up_ssGSEA,RFS,74,10,TRUE,-0.39,0.168,2.56,1.4,4.67,0.016,0.68,0.314
TCGA-COAD,MSI,All MSI,Up_ssGSEA,RFS,77,22,TRUE,-0.04,0.864,1.35,0.89,2.04,0.497,0.59,0.894
GSE39582,MSI,All MSI,Down_ssGSEA,OS,74,14,TRUE,0.07,0.777,0.75,0.43,1.31,0.482,0.52,0.704
TCGA-COAD,MSI,All MSI,Down_ssGSEA,OS,77,15,TRUE,-0.12,0.822,1.27,0.75,2.16,0.989,0.56,0.874
GSE39582,MSI,All MSI,Down_ssGSEA,RFS,74,10,TRUE,0.07,0.74,0.69,0.36,1.33,0.308,0.54,0.984
TCGA-COAD,MSI,All MSI,Down_ssGSEA,RFS,77,22,TRUE,0.13,0.712,0.96,0.64,1.46,0.855,0.51,0.788
GSE39582,MSI,All MSI,Composite_ssGSEA,OS,74,14,TRUE,-0.33,0.228,1.96,1.22,3.17,0.026,0.64,0.434
TCGA-COAD,MSI,All MSI,Composite_ssGSEA,OS,77,15,TRUE,-0.11,0.822,1.09,0.66,1.82,0.989,0.55,0.874
GSE39582,MSI,All MSI,Composite_ssGSEA,RFS,74,10,TRUE,-0.35,0.168,2.39,1.33,4.29,0.016,0.66,0.61
TCGA-COAD,MSI,All MSI,Composite_ssGSEA,RFS,77,22,TRUE,-0.21,0.524,1.46,0.95,2.24,0.497,0.63,0.729
GSE39582,MSI,All MSS,Up_ssGSEA,OS,459,97,TRUE,-0.16,0.095,1.31,1.06,1.61,0.05,0.57,0.175
TCGA-COAD,MSI,All MSS,Up_ssGSEA,OS,122,20,TRUE,-0.18,0.838,1.4,0.85,2.31,0.711,0.59,0.691
