"Dataset","Metric","Score","Model","HR","HR_lower","HR_upper","Raw_P","C_index","LRT_score_P","PH_P","Unadj_HR","Delta_logHR","Delta_logHR_pct","N","N_events","Is_Testable","FDR_P","Is_Significant"
"GSE39582","RFS","Down_ssGSEA","Clinicopath",0.954969952434161,7.61538522599222e-05,11975.3312930179,0.992364605935325,0.651732909379968,0.99236463049451,0.0812298571622903,5.24066806549996,-1.7025243860385,-102.781576907691,528,151,TRUE,0.992364605935325,FALSE
"GSE39582","RFS","Down_ssGSEA","CMS_adjusted",0.0373024866836585,2.47595063683353e-06,561.996467976462,0.502844772791409,0.600335163049984,0.501829316030132,0.0684933986916046,0.31784162298468,-2.14249322623809,-186.921076027891,510,144,TRUE,0.502844772791409,FALSE
"GSE39582","RFS","Down_ssGSEA","PDS_adjusted",0.608575302411371,2.57197824922126e-05,14399.9623176141,0.923007160095503,0.572666638344874,0.923012963195506,0.0709489321938916,2.42221551927458,-1.38131724851263,-156.13703820925,454,130,TRUE,0.923007160095503,FALSE
"GSE39582","RFS","Composite_ssGSEA","Clinicopath",231.699023467397,1.98109327380631,27098.3896546176,0.0250030604105116,0.668537360890302,0.0263993340454497,0.969526983059918,470.061449499146,-0.707424212985882,-11.4974795241306,528,151,TRUE,0.0375045906157673,TRUE
"GSE39582","RFS","Composite_ssGSEA","CMS_adjusted",205.447544030184,1.01657343448423,41520.5551475478,0.0492948382365335,0.604678602575283,0.0512886131907898,0.758629172522759,1147.05173771787,-1.71975948194427,-24.4112368076738,510,144,TRUE,0.0739422573548002,FALSE
"GSE39582","RFS","Composite_ssGSEA","PDS_adjusted",217.676154089417,0.693039411327466,68369.7164760099,0.0665096671937353,0.586218615914015,0.0677011806525526,0.677766495330921,1481.85332473028,-1.91804040319794,-26.2707516127223,454,130,TRUE,0.0997645007906029,FALSE
"GSE39582 (treated)","OS","Up_ssGSEA","Clinicopath",39981588.2597508,547.112408122172,2921753146229.67,0.00218888825038425,0.634345794392523,0.00305555189018463,0.104584158383692,52010049.1228897,-0.263017897633727,-1.48037752395094,225,46,TRUE,0.00656666475115276,TRUE
"GSE39582 (treated)","OS","Up_ssGSEA","CMS_adjusted",1464515.63026884,3.23937748699821,662104382681.634,0.0326079677331459,0.661226920786182,0.0348016181405049,0.0960221477668191,73924812.840687,-3.9215239739927,-21.6436856490106,218,47,TRUE,0.0648263532625101,FALSE
"GSE39582 (treated)","OS","Up_ssGSEA","PDS_adjusted",2745.66564446016,0.000852288016389326,8845225658.69932,0.300397591399983,0.645390070921986,0.302842629482704,0.16478128098625,32442400.0491907,-9.37719795075355,-54.2191994597454,184,43,TRUE,0.720022979487758,FALSE
"GSE39582 (treated)","OS","Down_ssGSEA","Clinicopath",0.000646506708538708,1.95731863270145e-11,21354.2607321262,0.405752284014116,0.581658878504673,0.406472127002922,0.728778060568752,0.000917741678089488,-0.350332379742998,-5.00933210476185,225,46,TRUE,0.405752284014116,FALSE
