"Dataset","Metric","Score","Model","HR","HR_lower","HR_upper","Raw_P","C_index","LRT_score_P","PH_P","Unadj_HR","Delta_logHR","Delta_logHR_pct","N","N_events","Is_Testable","FDR_P","Is_Significant"
"GSE39582 (treated)","OS","Composite_ssGSEA","CMS_adjusted",64267.0247866377,1.40149708701648,2947027513.07089,0.0432175688416732,0.649672424061942,0.044360507650177,0.193123735268078,2482678.53687269,-3.65404664561065,-24.8155125205849,218,47,TRUE,0.0665407614752654,FALSE
"GSE39582 (treated)","OS","Composite_ssGSEA","PDS_adjusted",74.4018514162821,0.000476239682083679,11623633.4401001,0.480015319658504,0.637526981190256,0.481037020771593,0.31612305782971,332584.276526674,-8.40516774404291,-66.1061742889433,184,43,TRUE,0.72155553115739,FALSE
"GSE39582 (treated)","RFS","Up_ssGSEA","Clinicopath",1298141.9120377,96.2361679864065,17510801386.3035,0.00371741667059236,0.61959393161748,0.00467314815021728,0.38889077075375,1637295.80855954,-0.232112040075462,-1.62219046624141,224,75,TRUE,0.0140194444506518,TRUE
"GSE39582 (treated)","RFS","Up_ssGSEA","CMS_adjusted",90370.2570749019,1.09148781742772,7482248755.67578,0.0482550328483975,0.597289675701081,0.0502043679838502,0.165881826586131,412204.971281882,-1.51760553014448,-11.7377456343048,217,75,TRUE,0.150613103951551,FALSE
"GSE39582 (treated)","RFS","Up_ssGSEA","PDS_adjusted",169.038473639267,0.000172912442984199,165251297.576684,0.466007246351837,0.600993377483444,0.466635991037115,0.177630545245545,179862.700231197,-6.96982271863308,-57.6020831388397,183,63,TRUE,0.710376103010339,FALSE
"GSE39582 (treated)","RFS","Down_ssGSEA","Clinicopath",29.0644169243177,1.54270809899716e-05,54756977.7911768,0.647622310175971,0.55083402520945,0.647055967535164,0.639275739517353,127.295180546887,-1.47699400596914,-30.4754229055313,224,75,TRUE,0.647055967535164,FALSE
"GSE39582 (treated)","RFS","Down_ssGSEA","CMS_adjusted",48.2297247728278,3.33442823060174e-05,69760276.4490434,0.592259356888802,0.574886417045277,0.592478398578021,0.931742018059958,162.084961971579,-1.21214512685867,-23.8230421249571,217,75,TRUE,0.592478398578021,FALSE
"GSE39582 (treated)","RFS","Down_ssGSEA","PDS_adjusted",323.984732422511,3.9656468261094e-05,2646884895.34167,0.476550442080226,0.596799116997792,0.473584068673559,0.729135769448594,151.810515119157,0.758063260407136,15.0929450841025,183,63,TRUE,0.710376103010339,FALSE
"GSE39582 (treated)","RFS","Composite_ssGSEA","Clinicopath",1917.00167342743,1.03652372223734,3545404.06271775,0.0489174710851802,0.589553928598385,0.0519111012804581,0.731378812790072,1479.5241192703,0.259041841966846,3.54877322682331,224,75,TRUE,0.0778666519206871,FALSE
"GSE39582 (treated)","RFS","Composite_ssGSEA","CMS_adjusted",144.438123316187,0.0289979758250038,719442.33600999,0.252268104329898,0.56940310198966,0.254748962331224,0.311068771932659,707.191588780672,-1.58845041406154,-24.2093795811844,217,75,TRUE,0.382123443496836,FALSE
"GSE39582 (treated)","RFS","Composite_ssGSEA","PDS_adjusted",1.39813340141844,8.75529354047368e-05,22326.8014844439,0.945890338954986,0.587527593818985,0.945907352407549,0.431419877198962,296.594993466888,-5.35722948750863,-94.1125013560274,183,63,TRUE,0.945907352407549,FALSE
"TCGA-COAD","OS","Up_ssGSEA","Clinicopath",10092.6085586692,0.0412816206341007,2467459996.81954,0.145268742877176,0.694104134762634,0.129514821834753,0.953206295553247,10564.4788396319,-0.045693990842631,-0.493175877829938,198,35,TRUE,0.324969670588149,FALSE
"TCGA-COAD","OS","Up_ssGSEA","CMS_adjusted",134102.654621747,10.5822843759403,1699398857.34752,0.0143089370040381,0.612865714684404,0.0136254364717219,0.858163122110395,425711.760508054,-1.15515691280532,-8.91220405368959,425,69,TRUE,0.0408763094151658,TRUE
"TCGA-COAD","OS","Up_ssGSEA","PDS_adjusted",226365.648606355,9.18373181594101,5579584410.34085,0.0168603420142284,0.581335256294694,0.0152982092838211,0.861432359202498,45891.5960725228,1.59586959784534,14.8673752023467,357,65,TRUE,0.0458946278514634,TRUE
"TCGA-COAD","OS","Down_ssGSEA","Clinicopath",65334.1395236633,0.00106786727033301,3997266238871.01,0.225506758223705,0.686064318529862,0.216646447058766,0.536966546770769,29345.9830984305,0.80035903529024,7.78036320993483,198,35,TRUE,0.324969670588149,FALSE
"TCGA-COAD","OS","Down_ssGSEA","CMS_adjusted",4085.69920027406,0.00379202169772484,4402120896.39032,0.240666063888724,0.57607330573515,0.239386298758114,0.819986759060372,4685.27717148485,-0.136932198886905,-1.62008136534556,425,69,TRUE,0.239386298758114,FALSE
